,Date,Token,Datestamp,Speaker
74993,15-May-07,example may know president working group financial markets pwg recently issued statement principles ten case relating regulation private pools capital including hedge funds,5/15/2007,Chairman Ben S. Bernanke
74994,15-May-07,fact united kingdom principles based risk focused approach regulation considerable influence side atlantic well,5/15/2007,Chairman Ben S. Bernanke
74995,15-May-07,rather said risk based means regulatory resources attention devoted firms markets instruments proportion perceived risks fsa regulatory objectives,5/15/2007,Chairman Ben S. Bernanke
74996,15-May-07,better alternative consistent principles based risk focused approach takes account benefits well risks accompany financial innovation,5/15/2007,Chairman Ben S. Bernanke
74997,15-May-07,speech february year sir callum mccarthy head united kingdom financial services authority fsa took issue interpretation sir callum confirmed fsa approach built framework principles although noted fsa also page rulebook accompany eleven principles laid,5/15/2007,Chairman Ben S. Bernanke
74998,15-May-07,observers characterized british approach principles based using light touch implication two features somehow go together,5/15/2007,Chairman Ben S. Bernanke
74999,15-May-07,commentators sought draw sharp distinction approach financial regulation united states united kingdom,5/15/2007,Chairman Ben S. Bernanke
75000,15-May-07,fsa head rejected view approach light touch,5/15/2007,Chairman Ben S. Bernanke
75001,15-May-07,aim presenting principles spell combination market discipline government oversight could effective addressing challenges public policy objectives described,5/15/2007,Chairman Ben S. Bernanke
75002,15-May-07,perception institutions big fail may create incentives excessive risk taking part institutions creditors,5/15/2007,Chairman Ben S. Bernanke
75003,15-May-07,particular emphasize risks financial stability best addressed focusing attention large institutions core financial system,5/15/2007,Chairman Ben S. Bernanke
75004,15-May-07,care needed applying risk focused approach regulation however,5/15/2007,Chairman Ben S. Bernanke
75005,15-May-07,particular government singles particular institutions markets especially critical stability system moral hazard concerns may well follow,5/15/2007,Chairman Ben S. Bernanke
75006,15-May-07,reason part effective risk focused approach promotion market discipline first line defense whenever possible,5/15/2007,Chairman Ben S. Bernanke
75007,15-May-07,market discipline enhanced whenever regulators take positive steps ensure investors managers bear consequences financial decisions,5/15/2007,Chairman Ben S. Bernanke
75008,15-May-07,reliance market discipline confused policy laissez faire benign neglect,5/15/2007,Chairman Ben S. Bernanke
75009,15-May-07,contrary pwg principles spell market discipline often needs buttressed government oversight,5/15/2007,Chairman Ben S. Bernanke
75010,15-May-07,notably supervisors must diligently ensure regulated firms especially core financial firms act creditors counterparties clearing firms highly leveraged entities including hedge funds adopt implement best practices monitoring managing risks,5/15/2007,Chairman Ben S. Bernanke
75011,15-May-07,best practices could include identified cooperative private sector initiatives counterparty risk policy management group ii,5/15/2007,Chairman Ben S. Bernanke
75012,15-May-07,noted powerful arguments ad hoc instrument specific institution specific regulation,5/15/2007,Chairman Ben S. Bernanke
75013,15-May-07,principles make clear regulators supervisors adopt risk focused approach described sir callum,5/15/2007,Chairman Ben S. Bernanke
75014,15-May-07,policymakers must confident ability detect market abuses occur,5/15/2007,Chairman Ben S. Bernanke
75015,15-May-07,leverage embedded new financial instruments trading strategies compounds difficulties risk management,5/15/2007,Chairman Ben S. Bernanke
75016,15-May-07,instruments trading strategies become complex intertwined even sophisticated investors challenged make reliable judgments risk exposures,5/15/2007,Chairman Ben S. Bernanke
75017,15-May-07,importantly best practices must address challenges mentioned earlier including relating complexity instruments strategies make exposures difficult measure illiquidity potential illiquidity positions held firm counterparties risks embedded well explicit leverage,5/15/2007,Chairman Ben S. Bernanke
75018,15-May-07,substantial market risk may associated holdings illiquid instruments tranches bespoke cdos illustrate well,5/15/2007,Chairman Ben S. Bernanke
75019,15-May-07,pattern crowded trades may lead market illiquidity sometimes surprising locations risk aversion heightens,5/15/2007,Chairman Ben S. Bernanke
75020,15-May-07,particular counterparty exposures significantly increased closeout positions one hedge funds dealer counterparties leads exacerbates market illiquidity,5/15/2007,Chairman Ben S. Bernanke
75021,15-May-07,market liquidity depends presence willing buyers sellers also underlying infrastructure including market making capacity system clearing settling financial transactions,5/15/2007,Chairman Ben S. Bernanke
75022,15-May-07,twenty years ago fall stock market crash significantly worsened inability trade processing systems keep order flows including orders resulting program trading,5/15/2007,Chairman Ben S. Bernanke
75023,15-May-07,course automated trading far pervasive today overall trading volumes expanded greatly,5/15/2007,Chairman Ben S. Bernanke
75024,15-May-07,trading volumes grow market infrastructures must adapt,5/15/2007,Chairman Ben S. Bernanke
75025,15-May-07,principles based risk focused approachhow best respond daunting challenges,5/15/2007,Chairman Ben S. Bernanke
75026,15-May-07,reliance paper based procedures confirming trades rapidly growing credit derivatives markets sometimes resulted large backlogs unconfirmed trades increased risks market participants,5/15/2007,Chairman Ben S. Bernanke
75027,15-May-07,leadership prudential regulators dealers markets adopted electronic confirmation platforms greatly reduced backlogs,5/15/2007,Chairman Ben S. Bernanke
75028,15-May-07,currently regulators market participants beginning address large backlogs confirmations equity derivatives markets,5/15/2007,Chairman Ben S. Bernanke
75029,15-May-07,embedded leverage difficult measure time like conventional leverage may increase investor vulnerability market shocks,5/15/2007,Chairman Ben S. Bernanke
75030,15-May-07,credit derivatives make easier investors take leveraged exposures credit risk,5/15/2007,Chairman Ben S. Bernanke
75031,15-May-07,example first loss tranche investment grade cdx credit default swap index exposed first percent losses index portfolio,5/15/2007,Chairman Ben S. Bernanke
75032,15-May-07,holding million position tranche exposes investor losses underlying portfolio million,5/15/2007,Chairman Ben S. Bernanke
75033,15-May-07,dealer taking side trade obviously needs enhance counterparty risk management practices take greater leverage account,5/15/2007,Chairman Ben S. Bernanke
75034,15-May-07,complexity illiquidity embedded leverage also create challenges policymakers respect objectives protecting investors maintaining market integrity,5/15/2007,Chairman Ben S. Bernanke
75035,15-May-07,hedge funds large banks hedge funds counterparties creditors difficulty assessing risks associated complex financial instruments many investors find gaining sufficient understanding risks even burdensome,5/15/2007,Chairman Ben S. Bernanke
75036,15-May-07,investors may also appreciate extent may multiple exposures source risk example arising effective exposures hedge fund funds funds investments different funds similar trading strategies,5/15/2007,Chairman Ben S. Bernanke
75037,15-May-07,current restrictions hedge fund investors limit direct investors institutions wealthy individuals reflect recognition difficulties retail investor would face adequately assessing types risk,5/15/2007,Chairman Ben S. Bernanke
75038,15-May-07,likewise complex difficult value financial instruments could exploited vehicles profiting insider trading market manipulation although history shows simpler instruments used way well,5/15/2007,Chairman Ben S. Bernanke
75039,15-May-07,implementing risk focused principles based policies must also face reality finance stop water edge,5/15/2007,Chairman Ben S. Bernanke
75040,15-May-07,organizations committee payments settlements systems cpss iosco developed shared international principles ensure safety efficiency payment systems,5/15/2007,Chairman Ben S. Bernanke
75041,15-May-07,consequence global regulatory coordination collaboration vital ever,5/15/2007,Chairman Ben S. Bernanke
75042,15-May-07,noted last year given complexity trading strategies rapidity positions change creating database would sufficiently timely detailed practical use hedge funds creditors investors regulators would extremely difficult,5/15/2007,Chairman Ben S. Bernanke
75043,15-May-07,collecting information also risks moral hazard traders conclude gathering data regulators somehow reduced financial risk,5/15/2007,Chairman Ben S. Bernanke
75044,15-May-07,however determined efforts work toward regime could provide substantial economic social benefits,5/15/2007,Chairman Ben S. Bernanke
75045,15-May-07,principle consistency focusing today raises additional objection proposal would make little sense collect data hedge funds positions without gathering information groups market participants use similar strategies take similar risks,5/15/2007,Chairman Ben S. Bernanke
75046,15-May-07,analogous issue arises debate transparency credit derivatives market,5/15/2007,Chairman Ben S. Bernanke
75047,15-May-07,argue policymakers act make trading credit derivatives market transparent grounds market policymakers know holding credit risk associated particular issuer,5/15/2007,Chairman Ben S. Bernanke
75048,15-May-07,transparency risk bearing important consistency seems imply full transparency required credit markets broadly credit derivatives,5/15/2007,Chairman Ben S. Bernanke
75049,15-May-07,stop credit markets,5/15/2007,Chairman Ben S. Bernanke
75050,15-May-07,know exactly bearing risk equity markets foreign exchange markets example,5/15/2007,Chairman Ben S. Bernanke
75051,15-May-07,rather addressing specific institutions instruments isolation regulators begin identifying objectives address implications broad range financial innovations objectives,5/15/2007,Chairman Ben S. Bernanke
75052,15-May-07,returning basics increase coherence consistency effectiveness regulatory framework,5/15/2007,Chairman Ben S. Bernanke
75053,15-May-07,public policy objectivesas public policymakers three principal objectives financial sphere objectives remained essentially unchanged many decades even pace financial innovation accelerated,5/15/2007,Chairman Ben S. Bernanke
75054,15-May-07,objectives financial stability investor protection market integrity,5/15/2007,Chairman Ben S. Bernanke
75055,15-May-07,goals widely shared policymakers around world thus provide basis international cooperation,5/15/2007,Chairman Ben S. Bernanke
75056,15-May-07,central banker point view objective ensuring financial stability remains critical,5/15/2007,Chairman Ben S. Bernanke
75057,15-May-07,indeed federal reserve founded large part concerns periodic bouts instability damaged financial system broader economy,5/15/2007,Chairman Ben S. Bernanke
75058,15-May-07,policymakers cannot prevent financial shocks try mitigate effects ensuring system remains fundamentally sound,5/15/2007,Chairman Ben S. Bernanke
75059,15-May-07,particular discuss use supervisory authority ensure large institutions form core financial system happen leading dealers credit derivatives markets principal counterparties creditors hedge funds manage risks face safe sound manner,5/15/2007,Chairman Ben S. Bernanke
75060,15-May-07,investor protection another vital public objective,5/15/2007,Chairman Ben S. Bernanke
75061,15-May-07,loss confidence financial system investors could undermine system stability functioning,5/15/2007,Chairman Ben S. Bernanke
75062,15-May-07,course cannot prevent investor losses,5/15/2007,Chairman Ben S. Bernanke
75063,15-May-07,last year conference discussed policy proposal focused narrowly hedge funds namely development database hedge fund positions portfolios,5/15/2007,Chairman Ben S. Bernanke
75064,15-May-07,consistent regulatory strategy needs tailored essential characteristics institutions instruments pose risks policy objectives arbitrary categories,5/15/2007,Chairman Ben S. Bernanke
75065,15-May-07,similarly hedge funds hardly homogeneous group institutions trading strategies unambiguously distinguished large global banks traditional asset managers,5/15/2007,Chairman Ben S. Bernanke
75066,15-May-07,short complexity per se concern cannot address concern focusing single class financial instruments,5/15/2007,Chairman Ben S. Bernanke
75067,15-May-07,skip main navigation skip secondary navigation skip content new · next · site map · z index · careers · rss · videos · current faqs · contact us search advanced search aboutthe fed news events monetarypolicy bankinginformation regulation paymentsystems economicresearch data consumer information communitydevelopment reportingforms publications skip content buildmenu menu home news events speeches print speech chairman ben bernanke federal reserve bank atlanta financial markets conference sea island georgiavia satellite may regulation financial innovation good morning,5/15/2007,Chairman Ben S. Bernanke
75068,15-May-07,pleased able join year financial markets conference albeit afar,5/15/2007,Chairman Ben S. Bernanke
75069,15-May-07,last year focus hedge funds main theme year gathering credit derivatives,5/15/2007,Chairman Ben S. Bernanke
75070,15-May-07,pairing makes eminent sense increasing prominence hedge funds growth market credit derivatives aspects remarkable wave financial innovation seen recent years,5/15/2007,Chairman Ben S. Bernanke
75071,15-May-07,developments also subject public policy debates including calls increased regulation,5/15/2007,Chairman Ben S. Bernanke
75072,15-May-07,remarks today address foot level challenges financial innovation poses public policy nature appropriate regulatory response,5/15/2007,Chairman Ben S. Bernanke
75073,15-May-07,argue central banks regulators resist temptation devise ad hoc rules new type financial instrument institution,5/15/2007,Chairman Ben S. Bernanke
75074,15-May-07,rather strive develop common principles based policy responses applied consistently across financial sector meet clearly defined objectives,5/15/2007,Chairman Ben S. Bernanke
75075,15-May-07,financial globalization financial innovation closely tied trend promoting,5/15/2007,Chairman Ben S. Bernanke
75076,15-May-07,increasing sophistication depth financial markets promote economic growth allocating capital productive,5/15/2007,Chairman Ben S. Bernanke
75077,15-May-07,avoid moral hazard let market discipline work investors must allowed bear consequences decisions make risks accept,5/15/2007,Chairman Ben S. Bernanke
75078,15-May-07,dispersion risk broadly across financial system thus far increased resilience system economy shocks,5/15/2007,Chairman Ben S. Bernanke
75079,15-May-07,clear thinking therefore essential,5/15/2007,Chairman Ben S. Bernanke
75080,15-May-07,developing regulatory framework need explicit public policy objectives regulation fresh developments threaten undermine objectives,5/15/2007,Chairman Ben S. Bernanke
75081,15-May-07,also take account role market play controlling risks public objectives noted last month market discipline important element well functioning regulatory scheme,5/15/2007,Chairman Ben S. Bernanke
75082,15-May-07,already observed morning regulatory changes fulfill test consistency across institutions instruments,5/15/2007,Chairman Ben S. Bernanke
75083,15-May-07,ensuring consistent approachin thinking whether regulate innovative financial institutions hedge funds instruments credit derivatives wary drawing artificial distinctions,5/15/2007,Chairman Ben S. Bernanke
75084,15-May-07,characteristics hedge funds credit derivatives arouse concern peculiar institutions instruments associated others well,5/15/2007,Chairman Ben S. Bernanke
75085,15-May-07,characteristics question fact feature broader financial landscape narrowly focused approach regulation undermined incentives approach creates regulatory arbitrage,5/15/2007,Chairman Ben S. Bernanke
75086,15-May-07,example complexity new financial instruments trading strategies potentially concern policy discuss credit derivatives complex state obvious complex financial instruments linked credit risk,5/15/2007,Chairman Ben S. Bernanke
75087,15-May-07,single name credit default swaps credit default swap indexes relatively simple instruments whereas derivatives based asset classes exotic interest rate foreign exchange options contrast quite complex,5/15/2007,Chairman Ben S. Bernanke
75088,15-May-07,moreover derivatives general necessarily complex types structured securities,5/15/2007,Chairman Ben S. Bernanke
75089,15-May-07,proposing implementing regulation must seek preserve benefits financial innovation even address risks may accompany innovation,5/15/2007,Chairman Ben S. Bernanke
75090,15-May-07,investors entitled information need make decisions appropriate personal circumstances,5/15/2007,Chairman Ben S. Bernanke
75091,15-May-07,addressing challenges risks financial innovation may create also always keep view enormous economic benefits flow healthy innovative financial sector,5/15/2007,Chairman Ben S. Bernanke
75092,15-May-07,stability efficiency market depend common understanding adherence rules game,5/15/2007,Chairman Ben S. Bernanke
75093,15-May-07,goal regulation preserve benefits achieving important public policy objectives including financial stability investor protection market integrity,5/15/2007,Chairman Ben S. Bernanke
75094,15-May-07,conclusionfinancial innovation great benefits economy,5/15/2007,Chairman Ben S. Bernanke
75095,15-May-07,risk focused regulators supervisors turn encourage effective implementation best practices particularly situations potential misuse either intentional unintentional high,5/15/2007,Chairman Ben S. Bernanke
75096,15-May-07,protect abuses private sector groups proposed practices principles handling material nonpublic information example creating barriers staff members access information others,5/15/2007,Chairman Ben S. Bernanke
75097,15-May-07,example market participants expressed concern bank may use nonpublic information credit derivatives market obtained lending activities,5/15/2007,Chairman Ben S. Bernanke
75098,15-May-07,institutions investors need adopt best practices measure manage risk also robust internal controls ensure laws violated,5/15/2007,Chairman Ben S. Bernanke
75099,15-May-07,consistent principles based approach us securities laws insider trading market manipulation apply broadly financial institutions including hedge funds trading wide range financial instruments including securities based counter derivatives transactions,5/15/2007,Chairman Ben S. Bernanke
75100,15-May-07,market integrity third public policy objective noted earlier,5/15/2007,Chairman Ben S. Bernanke
75101,15-May-07,supervision fiduciaries must ensure standards consistently met fiduciaries fully understand nature risk exposure,5/15/2007,Chairman Ben S. Bernanke
75102,15-May-07,example employee retirement income security act erisa sets standards private pension fund managers including requirements fiduciaries act prudently solely interest pension fund participants,5/15/2007,Chairman Ben S. Bernanke
75103,15-May-07,regulators role play imposing fiduciary duties standards investors agents,5/15/2007,Chairman Ben S. Bernanke
75104,15-May-07,appropriate principle investor protection case investors agents pension fund managers example must apply sound risk management practices take risks consistent stated objectives ultimate investors,5/15/2007,Chairman Ben S. Bernanke
75105,15-May-07,retail investors may indirect exposures complex instruments strategies example pension funds,5/15/2007,Chairman Ben S. Bernanke
75106,15-May-07,example retail investors effectively precluded engaging counter credit derivative transactions investing directly hedge funds unless meet various criteria regarding income net worth,5/15/2007,Chairman Ben S. Bernanke
75107,15-May-07,instruments strategies complex unsophisticated investor could expected effectively evaluate manage associated risks us regulators chosen limit exposure investors,5/15/2007,Chairman Ben S. Bernanke
75108,15-May-07,mutual funds example must provide disclosures sufficient help retail investors make informed choices,5/15/2007,Chairman Ben S. Bernanke
75109,15-May-07,important disclosures protections tailored level sophistication investor,5/15/2007,Chairman Ben S. Bernanke
75110,15-May-07,already work closely counterparts major industrial countries well international forums basel committee banking supervision international organization securities commissions iosco,5/15/2007,Chairman Ben S. Bernanke
75111,15-May-07,international cooperation also essential establishing maintaining effective oversight payment settlement systems constitute infrastructure global financial markets,5/15/2007,Chairman Ben S. Bernanke
75112,15-May-07,extent possible work toward common principles approaches well improved information sharing,5/15/2007,Chairman Ben S. Bernanke
75113,15-May-07,closely linked imperative investor protection third public policy objective preserving integrity market,5/15/2007,Chairman Ben S. Bernanke
75114,15-May-07,although financial innovation promotes objectives ways example allowing better sharing risks certain aspects financial innovation including complexity financial instruments trading strategies illiquidity potential illiquidity certain instruments explicit embedded leverage may pose significant risks,5/15/2007,Chairman Ben S. Bernanke
75115,15-May-07,risks taken lightly,5/15/2007,Chairman Ben S. Bernanke
75116,15-May-07,investor protection also addressed risk focused principles based manner,5/15/2007,Chairman Ben S. Bernanke
75117,15-May-07,argued today strive implement regulatory regime principles based risk focused consistently applied,5/15/2007,Chairman Ben S. Bernanke
75118,15-May-07,devising appropriate regulatory response financial innovation challenging,5/15/2007,Chairman Ben S. Bernanke
75119,15-May-07,challenges public policy objectivesthe rapid pace financial innovation creates challenges policymakers respect policy objectives,5/15/2007,Chairman Ben S. Bernanke
75120,15-May-07,thus policymakers must attach high priority preventing insider trading market manipulation activities rig game undermine public confidence,5/15/2007,Chairman Ben S. Bernanke
75121,15-May-07,failures risk management large institutions sufficient number smaller ones would threaten solvency institutions also health whole system,5/15/2007,Chairman Ben S. Bernanke
75122,15-May-07,course respects financial innovation makes risk management easier,5/15/2007,Chairman Ben S. Bernanke
75123,15-May-07,risk sliced diced moved balance sheet hedged derivative instruments,5/15/2007,Chairman Ben S. Bernanke
75124,15-May-07,indeed need better risk sharing risk management primary driving force behind recent wave innovation,5/15/2007,Chairman Ben S. Bernanke
75125,15-May-07,respects new instruments trading strategies make risk measurement management difficult,5/15/2007,Chairman Ben S. Bernanke
75126,15-May-07,notably risk management challenges associated complexity contemporary instruments trading strategies potential market illiquidity magnify riskiness instruments strategies greater leverage use entail,5/15/2007,Chairman Ben S. Bernanke
75127,15-May-07,complexity especially combined illiquidity amplifies difficulty measuring risk market risk counterparty credit risk,5/15/2007,Chairman Ben S. Bernanke
75128,15-May-07,particular financial stability depends adequate risk measurement risk management market participants,5/15/2007,Chairman Ben S. Bernanke
75129,15-May-07,problems valuation risk measurement faced investors tranches bespoke collateralized debt obligations cdos good example,5/15/2007,Chairman Ben S. Bernanke
75130,15-May-07,example complex instruments valued aid sophisticated modeling techniques,5/15/2007,Chairman Ben S. Bernanke
75131,15-May-07,however rules implement principles rather develop ad hoc manner,5/15/2007,Chairman Ben S. Bernanke
75132,15-May-07,admittedly fully consistent regulatory framework focuses significant threats public policy objectives ideal may never fully realized either abroad,5/15/2007,Chairman Ben S. Bernanke
75133,15-May-07,illiquidity potential illiquidity conditions also problem managers market risk counterparty credit risk,5/15/2007,Chairman Ben S. Bernanke
75134,15-May-07,united kingdom principles based approach inconsistent use rules provide needed clarity safe legal regulatory risks,5/15/2007,Chairman Ben S. Bernanke
75135,15-May-07,example counterparty risks may underestimated failures aggregate exposures risks across instruments counterparties,5/15/2007,Chairman Ben S. Bernanke
75136,15-May-07,complex trading strategies positions create problems,5/15/2007,Chairman Ben S. Bernanke
75137,15-May-07,similar problems faced core financial intermediaries often act counterparties hedge funds complex synthetic cdo transactions finance hedge funds investments bespoke cdo tranches,5/15/2007,Chairman Ben S. Bernanke
75138,15-May-07,essentially risk appear different forms example investments cdo tranche bond credit default swap may entail credit risk given obligor,5/15/2007,Chairman Ben S. Bernanke
75139,15-May-07,enhancing market discipline complement strengthen approach,5/15/2007,Chairman Ben S. Bernanke
87535,14-Nov-08,indeed run euro?s establishment experience past decade associated unprecedented degree policy coordination among sovereign states within euro area including cooperation areas fiscal regulatory policies well monetary policy,11/14/2008,Chairman Ben S. Bernanke
87536,14-Nov-08,euro?s introduction remarkable achievement,11/14/2008,Chairman Ben S. Bernanke
87537,14-Nov-08,academic bit consulting european monetary institute european central bank?s ecb predecessor monetary transmission mechanisms thus played part albeit extremely small one grand project,11/14/2008,Chairman Ben S. Bernanke
87538,14-Nov-08,credit squeeze turn principal cause economic slowdown taking place many countries,11/14/2008,Chairman Ben S. Bernanke
87539,14-Nov-08,unwinding boom associated financial losses led withdrawal many investors credit markets deleveraging financial institutions acted constrict available credit households businesses,11/14/2008,Chairman Ben S. Bernanke
87540,14-Nov-08,however fundamentally turmoil product global credit boom characterized broad underpricing risk excessive leverage financial institutions increasing reliance complex opaque financial instruments proven fragile stress,11/14/2008,Chairman Ben S. Bernanke
87541,14-Nov-08,proximate cause financial turmoil end us housing boom attendant losses mortgages mortgage related assets many institutions,11/14/2008,Chairman Ben S. Bernanke
87542,14-Nov-08,know financial markets remain severe strain,11/14/2008,Chairman Ben S. Bernanke
87543,14-Nov-08,mention reminder creators euro drew monetary expertise around world early example international cooperation since proven one hallmarks ecb,11/14/2008,Chairman Ben S. Bernanke
87544,14-Nov-08,example regulatory capacity federal reserve worked closely regulators supervisors number european nations active participants international financial stability forum standard setting bodies operating aegis bank international settlements,11/14/2008,Chairman Ben S. Bernanke
87545,14-Nov-08,current financial crisis global economic slowdown likewise occasion unprecedented international policy coordination within europe also globally,11/14/2008,Chairman Ben S. Bernanke
87546,14-Nov-08,focus today however cooperation monetary policy especially meeting liquidity needs increasingly globalized financial markets,11/14/2008,Chairman Ben S. Bernanke
87547,14-Nov-08,efforts central banks around world increase availability liquidity along steps taken central banks governments contributed tentative improvements credit market functioning,11/14/2008,Chairman Ben S. Bernanke
87548,14-Nov-08,elsewhere including canada euro area united kingdom central banks introduced expanded similar measures boost provision liquidity local currencies,11/14/2008,Chairman Ben S. Bernanke
87549,14-Nov-08,however continuing volatility markets recent indicators economic performance confirm challenges remain,11/14/2008,Chairman Ben S. Bernanke
87550,14-Nov-08,reason policymakers remain close contact monitor developments closely stand ready take additional steps conditions warrant,11/14/2008,Chairman Ben S. Bernanke
87551,14-Nov-08,times like especially aware importance close working relationships central bank colleagues around world,11/14/2008,Chairman Ben S. Bernanke
87552,14-Nov-08,relationships fostered ties established forums like one many venues policymakers regularly gather,11/14/2008,Chairman Ben S. Bernanke
87553,14-Nov-08,th anniversary euro opportunity celebrate impressive historic achievement also reaffirm commitment cooperation address challenges increasingly integrated global economy,11/14/2008,Chairman Ben S. Bernanke
87554,14-Nov-08,central bankers policymakers around world must continue work together address disruptions credit markets promote vibrant global economy,11/14/2008,Chairman Ben S. Bernanke
87555,14-Nov-08,central bankers working closely together throughout period financial turmoil,11/14/2008,Chairman Ben S. Bernanke
87556,14-Nov-08,personally found opportunity share views regularly president trichet leading central bankers various international meetings extremely valuable,11/14/2008,Chairman Ben S. Bernanke
87557,14-Nov-08,domestic central bank also typically best informed quality collateral offered potential borrowers,11/14/2008,Chairman Ben S. Bernanke
87558,14-Nov-08,arrangement makes use fact domestic central bank best positioned understand mechanics special features country?s financial payments systems existing relationships domestic financial institutions best assess strength institution needs foreign currency liquidity,11/14/2008,Chairman Ben S. Bernanke
87559,14-Nov-08,swap agreements responsibility allocating foreign currency liquidity within jurisdiction lies domestic central bank,11/14/2008,Chairman Ben S. Bernanke
87560,14-Nov-08,also reflects importance relationships central banks institutions serve,11/14/2008,Chairman Ben S. Bernanke
87561,14-Nov-08,frequent contact phone well,11/14/2008,Chairman Ben S. Bernanke
87562,14-Nov-08,consultations allow us keep abreast developments countries compare analyses developing trends draw other?s experience knowledge,11/14/2008,Chairman Ben S. Bernanke
87563,14-Nov-08,merits coordinated monetary policies discussed policymakers academics decades practice coordination quite rare,11/14/2008,Chairman Ben S. Bernanke
87564,14-Nov-08,however october federal reserve announced reduction policy interest rate jointly five major central banks bank canada bank england ecb sveriges riksbank swiss national bank snb bank japan expressing support,11/14/2008,Chairman Ben S. Bernanke
87565,14-Nov-08,last month?s joint action motivated abatement inflationary pressures increased indications economic slowing respective economies,11/14/2008,Chairman Ben S. Bernanke
87566,14-Nov-08,federal reserve responded strong demand funding banks primary dealers dramatically increasing amount term funding auctions banks providing new lending facilities nonbanks supplying high quality securities use repurchase agreement repo markets collateralized lending funding purchases commercial paper,11/14/2008,Chairman Ben S. Bernanke
87567,14-Nov-08,skip main navigation skip secondary navigation skip content new · next · site map · z index · careers · rss · videos · current faqs · contact us search advanced search aboutthe fed news events monetarypolicy bankinginformation regulation paymentsystems economicresearch data consumer information communitydevelopment reportingforms publications skip content buildmenu menu home news events speeches print speech chairman ben bernanke fifth european central bank central banking conference euro ten lessons challenges frankfurt germany november policy coordination among central banks pleased frankfurt today celebrate th anniversary euro,11/14/2008,Chairman Ben S. Bernanke
87568,14-Nov-08,notably mid october federal reserve eliminated limits sizes swap lines ecb bank england snb bank japan accommodate demands us dollar funding scale,11/14/2008,Chairman Ben S. Bernanke
87569,14-Nov-08,addition coordinated rate cut intended send strong signal public markets resolve act together address global economic challenges,11/14/2008,Chairman Ben S. Bernanke
87570,14-Nov-08,although range mechanisms used broad provision liquidity conforms central bank?s traditional role lender last resort,11/14/2008,Chairman Ben S. Bernanke
87571,14-Nov-08,however novel aspect current situation balance sheets financial institutions increasingly come include instruments denominated foreign currencies,11/14/2008,Chairman Ben S. Bernanke
87572,14-Nov-08,need currencies outside issuing country?s markets arises primarily global role played key international currencies dollar euro,11/14/2008,Chairman Ben S. Bernanke
87573,14-Nov-08,example past decade international loans deposits grown tremendously issuance international debt securities bonds notes money market instruments sold outside borders borrower?s country sometimes denominated foreign currencies,11/14/2008,Chairman Ben S. Bernanke
87574,14-Nov-08,developments posed new challenges conventional central bank liquidity lender last resort policies,11/14/2008,Chairman Ben S. Bernanke
87575,14-Nov-08,example injecting euros sterling national money markets may sufficient restore market function economies funding shortages dollars,11/14/2008,Chairman Ben S. Bernanke
87576,14-Nov-08,steps consistent principles agreed group seven finance ministers central bank governors october communiqué,11/14/2008,Chairman Ben S. Bernanke
87577,14-Nov-08,many financial institutions outside united states especially europe substantially increased dollar investments recent years including loans nonbanks purchases asset backed securities issued us residents also continued prominent role dollar international trade foreign direct investment financial transactions contributes dollar funding needs abroad,11/14/2008,Chairman Ben S. Bernanke
87578,14-Nov-08,recent sharp deterioration conditions funding markets left participants outside united states without adequate access short term dollar financing,11/14/2008,Chairman Ben S. Bernanke
87579,14-Nov-08,emergence dollar funding shortages around globe required internationally coordinated approach among central banks lender last resort function,11/14/2008,Chairman Ben S. Bernanke
87580,14-Nov-08,principal tool used currency swap line allows collaborating central bank draw balances denominated foreign partner?s currency,11/14/2008,Chairman Ben S. Bernanke
87581,14-Nov-08,federal reserve established temporary swap lines dozen central banks many central banks drawn lines using variety methods facilities allocated funds meet needs institutions within borders although funding needs current turmoil pronounced dollars arisen currencies well,11/14/2008,Chairman Ben S. Bernanke
87582,14-Nov-08,example ecb set swap lines repo facilities central banks denmark hungary provide euro liquidity countries,11/14/2008,Chairman Ben S. Bernanke
87583,14-Nov-08,know however monetary policy actions resolved ongoing strains financial markets including interbank funding markets,11/14/2008,Chairman Ben S. Bernanke
87584,14-Nov-08,financial institutions outside united states relied dollars acquired us affiliates many others relied interbank wholesale markets obtain dollars,11/14/2008,Chairman Ben S. Bernanke
87585,14-Nov-08,addition measures governments many countries broadened deposit insurance coverage announced plans inject capital banking systems guarantee bank debts,11/14/2008,Chairman Ben S. Bernanke
87586,14-Nov-08,indeed significant feature recent financial market stress strong demand dollar funding united states also abroad,11/14/2008,Chairman Ben S. Bernanke
87587,14-Nov-08,collaborative approach injection liquidity reflects global multi currency nature funding difficulties,11/14/2008,Chairman Ben S. Bernanke
87588,14-Nov-08,terms many swap agreements adjusted changing needs liquidity sizes swaps increased types collateral accepted central banks financial institutions economies expanded maturities funds made available tailored meeting prevailing needs,11/14/2008,Chairman Ben S. Bernanke
87589,14-Nov-08,taken together actions helped improve distribution liquidity around globe,11/14/2008,Chairman Ben S. Bernanke
